Frequency,Impedance,Phase,Real,Imaginary,Magnitude,,1/Impedance *10k
30000,3849.042939,-2.047462145,-2956,-2767,4048.978266,,2.598048439
30002,3851.16911,-1.998422928,-2952,-2768,4046.742888,,2.596614097
30000,4070.402568,-3.215481406,-2848,-2559,3828.783749,,2.456759456
30002,4071.904437,-3.216611356,-2847,-2558,3827.371552,,2.455853313
30000,4070.402568,-3.215481406,-2848,-2559,3828.783749,,2.456759456
30002,4071.904437,-3.216611356,-2847,-2558,3827.371552,,2.455853313
30000,4073.407413,-3.217742139,-2846,-2557,3825.959357,,2.45494717
30002,4073.326715,-3.23889009,-2847,-2556,3826.035154,,2.454995805
30000,4053.010478,-3.255153579,-2862,-2568,3845.213648,,2.467301788
30002,4053.795093,-3.245200423,-2861,-2568,3844.469404,,2.46682424
30000,4040.895568,-3.309003132,-2873,-2573,3856.741889,,2.474698945
30002,4046.903811,-3.292623402,-2868,-2570,3851.01597,,2.471024879
30000,4037.525416,-3.411495263,-2880,-2570,3859.96114,,2.476764595
30002,4036.995333,-3.358510741,-2878,-2573,3860.467977,,2.477089809
30000,4028.84934,-3.362531673,-2884,-2578,3868.273517,,2.482098275
30002,4028.318361,-3.309667447,-2882,-2581,3868.783401,,2.482425445
30000,4020.403257,-3.45001729,-2894,-2579,3876.400005,,2.48731268
30002,4028.599774,-3.425270214,-2887,-2575,3868.513151,,2.482252038
30000,4027.2136,-3.403171765,-2887,-2577,3869.8447,,2.483106433
30002,4025.744775,-3.401986163,-2888,-2578,3871.256644,,2.484012415
30000,4017.643867,-3.405908429,-2894,-2583,3879.062387,,2.489021011
30002,4019.713278,-3.438984396,-2894,-2580,3877.065385,,2.487739625
30000,4030.679699,-3.458446419,-2887,-2572,3866.516908,,2.480971138
30002,4032.066757,-3.480582923,-2887,-2570,3865.1868,,2.480117667
30000,4045.537237,-3.449564544,-2876,-2563,3852.316835,,2.471859586
30002,4040.226347,-3.476797661,-2881,-2565,3857.380718,,2.475108853
30000,4038.662147,-3.496544011,-2883,-2565,3858.874706,,2.476067479
30002,4037.098678,-3.516275074,-2885,-2565,3860.369153,,2.477026399
30000,4162.541997,-3.653336999,-2804,-2481,3744.032185,,2.402378164
30002,4159.405624,-3.65069855,-2806,-2483,3746.855348,,2.404189662
30000,3691.511833,-2.824774281,-3121,-2843,4221.763849,,2.708917227
30002,3695.926471,-2.799113162,-3116,-2841,4216.72112,,2.705681533
30000,3800.369959,-3.061798065,-3043,-2749,4100.835281,,2.631322768
30002,3799.193345,-3.0213417,-3042,-2752,4102.105313,,2.632137691
30000,3792.466421,-3.075493105,-3050,-2754,4109.381462,,2.636806471
30002,3789.660282,-3.13251929,-3055,-2753,4112.424346,,2.638758953
30000,3785.759913,-3.129453038,-3058,-2756,4116.661269,,2.641477597
30002,3783.846358,-3.118098955,-3059,-2758,4118.743134,,2.642813437
30000,3777.37001,-3.113024543,-3064,-2763,4125.80477,,2.647344574
30002,3772.681967,-3.158455293,-3070,-2764,4130.931614,,2.650634241
30000,3771.256572,-3.196589729,-3073,-2763,4132.492952,,2.651636081
30002,3769.221378,-3.224384693,-3076,-2763,4134.724296,,2.653067835
30000,3766.108499,-3.192435152,-3077,-2767,4138.141854,,2.655260729
30002,3764.891564,-3.171851187,-3077,-2769,4139.479436,,2.656118996
30000,3765.363272,-3.221240926,-3079,-2766,4138.96086,,2.655786249
30002,3761.649348,-3.179044038,-3080,-2771,4143.047308,,2.65840834
30000,3409.599758,-1.937859076,-3331,-3130,4570.827168,,2.932895562
30002,3411.263224,-1.894367858,-3327,-3131,4568.598253,,2.931465367
30000,3344.932012,-1.912752258,-3394,-3192,4659.195209,,2.989597386
30002,3345.423889,-1.921711609,-3394,-3191,4658.51017,,2.989157827
30000,3337.32267,-1.917434388,-3402,-3199,4669.818519,,2.996413889
30002,3335.240859,-1.951033352,-3406,-3199,4672.733354,,2.998284209
30000,3328.193314,-1.947239064,-3413,-3206,4682.628001,,3.004633162
30002,3329.621392,-1.99130832,-3414,-3202,4680.619617,,3.003344471
30000,3047.73611,-0.908678926,-3663,-3568,5113.530385,,3.281123968
30002,3048.205066,-0.837471657,-3658,-3572,5112.743686,,3.280619178
30000,3031.867524,-0.810172179,-3676,-3593,5140.294252,,3.298297146
30002,3032.270073,-0.833908866,-3677,-3591,5139.611853,,3.297859281
30000,3021.851929,-0.870860736,-3692,-3601,5157.33119,,3.309228987
30002,3023.090092,-0.879013162,-3691,-3599,5155.218909,,3.307873631
30000,2997.226872,-0.818281648,-3719,-3634,5199.703549,,3.336417437
30002,2999.692707,-0.787632349,-3714,-3633,5195.429241,,3.333674805
30000,2989.097677,-0.81648524,-3729,-3644,5213.844743,,3.345491209
30002,2993.127609,-0.864065038,-3727,-3636,5206.824848,,3.340986856
30000,2985.458535,-0.807919497,-3733,-3649,5220.200188,,3.349569214
30002,2985.819314,-0.8778612,-3737,-3644,5219.569427,,3.349164483
30000,2983.424023,-0.830744037,-3737,-3650,5223.760044,,3.351853415
30002,2981.371734,-0.884536894,-3743,-3649,5227.355928,,3.354160733
30000,2978.17884,-0.837300336,-3744,-3656,5232.960157,,3.357756716
30002,2980.187376,-0.845507756,-3742,-3653,5229.433335,,3.355493712
30000,2975.794063,-0.790336127,-3744,-3662,5237.153807,,3.360447594
30002,2974.130702,-0.882767303,-3752,-3658,5240.082824,,3.362327013
30000,2974.547093,-0.859669202,-3750,-3659,5239.349292,,3.361856339
30002,2970.933783,-0.866538233,-3755,-3663,5245.721495,,3.365945097
30000,2968.92794,-0.873777144,-3758,-3665,5249.265568,,3.36821917
30002,2969.30216,-0.912466068,-3760,-3662,5248.604005,,3.367794674
30000,2966.48877,-0.934886542,-3765,-3664,5253.581731,,3.370988659
30002,2966.510052,-0.904042226,-3763,-3666,5253.544042,,3.370964476
30000,2963.287372,-0.949454176,-3770,-3667,5259.257457,,3.374630519
30002,2964.870571,-0.965294702,-3769,-3664,5256.449087,,3.372828513
30000,2960.103791,-0.948601657,-3774,-3671,5264.913769,,3.378259922
30002,2959.7008,-0.956188575,-3775,-3671,5265.630636,,3.378719903
30000,2958.089415,-0.986515594,-3779,-3671,5268.499027,,3.380560421
30002,2957.709511,-0.963339826,-3778,-3673,5269.175742,,3.380994639
30000,2954.548952,-0.947114148,-3781,-3678,5274.812319,,3.384611379
30002,2953.734823,-0.977613499,-3784,-3677,5276.266199,,3.385544268
30000,2952.518865,-1.015656462,-3788,-3676,5278.439163,,3.386938563
30002,2950.159631,-0.999629211,-3790,-3680,5282.660315,,3.389647087
30000,2952.140997,-0.992520597,-3787,-3678,5279.114793,,3.387372084
30002,2950.571745,-0.97673357,-3788,-3681,5281.922472,,3.389173646
30000,2948.203879,-0.976074859,-3791,-3684,5286.164678,,3.39189568
30002,2947.79244,-0.99895222,-3793,-3683,5286.902496,,3.392369105
30000,2999.279998,-0.7953429,-3715,-3633,5196.144147,,3.334133528
30002,2997.674668,-0.748241129,-3714,-3638,5198.926812,,3.33591904
30000,3607.691422,-2.7359688,-3189,-2914,4319.851502,,2.771855691
30002,3608.924704,-2.718068802,-3187,-2914,4318.375273,,2.770908461
30000,3230.170969,-1.60885002,-3497,-3324,4824.726417,,3.095811366
30002,3230.65627,-1.60066719,-3496,-3324,4824.001658,,3.095346321
30000,3526.650879,-2.577034582,-3254,-2990,4419.119369,,2.835551446
30002,3524.349361,-2.593794037,-3257,-2991,4422.005201,,2.837403156
30000,3455.27605,-2.572958456,-3321,-3052,4510.404084,,2.894124769
30002,3454.284584,-2.536313745,-3320,-3055,4511.698682,,2.894955455
30000,3453.584367,-2.598732635,-3324,-3052,4512.613433,,2.89554241
30002,3450.524698,-2.524743586,-3323,-3059,4516.614883,,2.898109961
30000,3760.973567,-2.327011205,-3039,-2817,4143.791742,,2.65888601
30002,3758.458337,-2.306003587,-3040,-2820,4146.564843,,2.660665385
30000,3595.034355,-2.147014975,-3170,-2957,4335.060438,,2.781614586
30002,3597.987342,-2.139292064,-3167,-2955,4331.502511,,2.779331623
30000,3941.647292,-2.718525176,-2918,-2668,3953.852299,,2.537010356
30002,3942.445675,-2.688267596,-2916,-2669,3953.051606,,2.536496587
30000,3749.318602,-2.378803782,-3051,-2823,4156.672948,,2.667151305
30002,3751.256289,-2.37019399,-3049,-2822,4154.525845,,2.665773605
30000,3873.879817,-2.65427894,-2966,-2718,4023.018767,,2.581391388
30002,3874.589819,-2.644655119,-2965,-2718,4022.281566,,2.58091836
30000,4079.715966,-2.935761181,-2829,-2567,3820.043193,,2.451151032
30002,4076.128903,-2.880272157,-2829,-2572,3823.404896,,2.453308086
30000,4090.950244,-2.975364829,-2823,-2558,3809.552861,,2.444419854
30002,4088.933843,-2.899478682,-2821,-2563,3811.43149,,2.445625286
30000,4081.002605,-3.000369586,-2831,-2563,3818.838829,,2.450378245
30002,4073.469331,-2.995114712,-2836,-2568,3825.901201,,2.454909854
30000,4092.467644,-2.976411431,-2822,-2557,3808.14036,,2.443513516
30002,4090.229225,-2.964221654,-2823,-2559,3810.224403,,2.444850753
30000,4125.342085,-3.213857326,-2810,-2525,3777.793668,,2.424041399
30002,4127.210083,-3.129290861,-2805,-2528,3776.083818,,2.422944265
30000,4112.23466,-3.214837787,-2819,-2533,3789.835089,,2.431767841
30002,4117.080715,-3.154138999,-2813,-2533,3785.374222,,2.428905502
30000,4114.575384,-3.205869031,-2817,-2532,3787.679105,,2.430384442
30002,4110.865348,-3.171011457,-2818,-2536,3791.097466,,2.432577852
30000,4105.783834,-3.295547447,-2827,-2533,3795.789509,,2.435588527
30002,4099.210262,-3.215812037,-2828,-2541,3801.87651,,2.439494283
30000,4090.013571,-3.230236077,-2835,-2546,3810.425304,,2.444979662
30002,4091.611149,-3.210134334,-2833,-2546,3808.937516,,2.444025015
30000,4080.69384,-3.286966877,-2844,-2549,3819.12778,,2.450563652
30002,4083.878021,-3.246883633,-2840,-2549,3816.150023,,2.448652959
30000,4062.041772,-3.240915847,-2855,-2563,3836.664437,,2.461816141
30002,4061.172933,-3.271974272,-2857,-2562,3837.485244,,2.462342817
30000,4076.884059,-3.294655048,-2847,-2551,3822.696692,,2.452853664
30002,4074.334392,-3.366946044,-2852,-2549,3825.088888,,2.454388629
30000,4193.616429,-3.439215037,-2774,-2473,3716.289144,,2.384576694
30002,4196.1443,-3.408417872,-2771,-2473,3714.05035,,2.38314016
30000,4212.351793,-3.563592186,-2767,-2456,3699.760127,,2.373970763
30002,4214.150119,-3.521151278,-2764,-2457,3698.18131,,2.372957706
30000,4140.6011,-3.473135451,-2811,-2503,3763.871677,,2.41510828
30002,4145.999023,-3.48826094,-2808,-2499,3758.971269,,2.411963907
30000,4112.021232,-3.460921353,-2830,-2521,3790.031794,,2.431894058
30002,4110.578067,-3.438352945,-2830,-2523,3791.36242,,2.432747861
30000,3615.098476,-2.628385022,-3177,-2914,4311.000464,,2.766176376
30002,3616.385328,-2.591626257,-3174,-2915,4309.46644,,2.765192061
30000,4139.048525,-3.471890246,-2812,-2504,3765.283522,,2.416014198
30002,4132.849829,-3.46691875,-2816,-2508,3770.93092,,2.41963788
30000,4193.057222,-3.569804584,-2780,-2467,3716.784766,,2.384894713
30002,4189.68366,-3.610699322,-2784,-2467,3719.777547,,2.386815047
30000,4206.101316,-3.700936847,-2777,-2453,3705.258156,,2.377498602
30002,4203.649611,-3.709816748,-2779,-2454,3707.419183,,2.378885237
30000,4200.251659,-3.75070162,-2783,-2454,3710.41844,,2.380809726
30002,4196.210921,-3.758168947,-2786,-2456,3713.991384,,2.383102324
30000,4238.847062,-3.805860228,-2760,-2429,3676.634466,,2.35913206
30002,4240.681434,-3.763256651,-2757,-2430,3675.044081,,2.358111581
